City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Muros,ES,64.13,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
519,Wad Rawah,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
520,Barawe,SO,78.71,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
521,Grand River South East,MU,74.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
522,Zambezi,UG,63.07,light rain,-0.7818,29.7544,
525,Sur,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
527,Magugu,TZ,74.39,scattered clouds,-10.4,40.3333,
528,Vanimo,PG,84.72,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
529,Burnie,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
530,Prieska,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
531,Ryotsu,JP,55.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
532,Teofilo Otoni,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
533,Arenzano,IT,64.98,few clouds,37.9837,13.6956,Hotel Piccolo
534,Majene,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
535,Codrington,AU,51.82,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
536,Arlit,NE,86.38,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
538,Tigzirt,MR,83.77,overcast clouds,20.5022,-10.0711,
539,Sabang,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
540,Monze,UG,63.07,light rain,-0.7818,29.7544,
541,Ingham,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
543,Niamey,NE,86.38,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
544,Bali Chak,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
545,Newport,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
546,Sheridan,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
547,Catu,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
548,Kankon,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
