City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed
225,Yekepa,LR,6.7533,-11.3686,79.09,moderate rain,84,100,6.64
226,Matadi,CD,-2.95,25.95,69.57,light rain,100,100,1.41
227,Gambo,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
228,Savelugu,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
229,Duku,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
230,Youkounkoun,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
231,Kampene,CD,-2.95,25.95,69.57,light rain,100,100,1.41
232,Dori,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
233,Winneba,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
234,Odienne,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
235,Ouadda,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
236,Savalou,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
237,Aboisso,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
238,Tokonou,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
239,Caxito,AO,-6.1349,12.3689,76.86,light rain,84,91,9.31
240,Katsina,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
241,Boundiali,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
242,Batie,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
243,Tessaoua,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
244,Bulungu,CD,-2.95,25.95,69.57,light rain,100,100,1.41
245,Daura,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
246,Gossas,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
247,Kaduqli,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
248,Nikki,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
249,Guelengdeng,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
250,San-Pedro,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
251,Farafenni,GM,13.2019,-16.7339,82.47,scattered clouds,89,40,0.0
252,Adzope,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
253,Doume,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
254,Kumbo,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
255,Guider,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
256,Lere,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
257,Kaniama,CD,-2.95,25.95,69.57,light rain,100,100,1.41
258,Raga,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
259,Yokadouma,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
260,Sibut,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
261,Kabinda,CD,-2.95,25.95,69.57,light rain,100,100,1.41
262,Tombouctou,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
263,Dosso,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
264,Gandajika,CD,-2.95,25.95,69.57,light rain,100,100,1.41
265,Wukari,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
266,Mbanza-Ngungu,CD,-2.95,25.95,69.57,light rain,100,100,1.41
267,Nouadhibou,MR,18.0858,-15.9785,78.73,broken clouds,62,52,14.88
268,Kigoma,TZ,-5.1036,30.3911,72.93,overcast clouds,68,99,1.45
269,Bouar,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
270,Luau,AO,-6.1349,12.3689,76.86,light rain,84,91,9.31
271,Afikpo,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
272,Mbini,GQ,1.8658,10.7689,70.09,broken clouds,100,67,1.99
273,Gorom-Gorom,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
274,Eha Amufu,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
275,Eruwa,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
276,Idanre,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
277,Batouri,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
278,Jacqueville,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
279,Acurenam,GQ,1.8658,10.7689,70.09,broken clouds,100,67,1.99
280,Sembe,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
281,Loandjili,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
282,Bangassou,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
283,Bata,GQ,1.8658,10.7689,70.09,broken clouds,100,67,1.99
284,Lisala,CD,-2.95,25.95,69.57,light rain,100,100,1.41
285,Hounde,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
286,Camabatela,AO,-6.1349,12.3689,76.86,light rain,84,91,9.31
287,Ribeira Brava,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
288,Macenta,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
289,Ndele,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
290,Boffa,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
291,Kerouane,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
292,Ngaoundere,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
293,Booue,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
294,Beinamar,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
295,Toulepleu,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
296,Bandiagara,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
297,Mali,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
298,Dakoro,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
299,Dahra,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
300,Yagoua,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
301,Bangolo,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
302,Aplahoue,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
303,Lambarene,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
304,Lafiagi,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
305,Banfora,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
306,Fria,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
307,Meiganga,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
308,Betare Oya,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
309,Wa,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
310,Mwene-Ditu,CD,-2.95,25.95,69.57,light rain,100,100,1.41
311,Kumba,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
312,Mbacke,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
313,Warri,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
314,Tanout,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
315,Luwingu,ZM,-8.4689,29.6619,74.62,overcast clouds,65,100,5.35
316,Dinguiraye,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
317,Melfi,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
318,Ilebo,CD,-2.95,25.95,69.57,light rain,100,100,1.41
319,Okandja,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
320,Makurdi,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
321,Agnibilekrou,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
322,Massaguet,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
323,Kita,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
324,Grand-Lahou,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
325,Rumonge,BI,-2.8833,29.25,63.73,overcast clouds,79,96,5.06
326,Makokou,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
327,Sokode,US,27.9797,-82.3065,82.31,overcast clouds,86,90,0.0
328,Sapouy,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
329,Yomou,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
330,Djibo,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
331,Batangafo,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
332,Touba,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
333,Dutse,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
334,Kankan,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
335,Djambala,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
336,Kolokani,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
337,Biankouma,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
338,Mbandaka,CD,-2.95,25.95,69.57,light rain,100,100,1.41
339,Bibiani,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
340,Cotonou,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
341,Abong Mbang,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
342,Mongoumba,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
343,Velingara,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
344,Lagdo,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
345,Abidjan,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
346,Nkoteng,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
347,Bamako,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
348,Sapele,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
349,Mangai,CD,-2.95,25.95,69.57,light rain,100,100,1.41
350,Mbaiki,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
351,Ilorin,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
352,Cabinda,AO,-6.1349,12.3689,76.86,light rain,84,91,9.31
353,Dubreka,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
354,Zinder,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
355,Mporokoso,ZM,-8.4689,29.6619,74.62,overcast clouds,65,100,5.35
356,Funtua,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
357,Koubia,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
358,Sangmelima,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
359,Kaura Namoda,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
360,Watsa,CD,-2.95,25.95,69.57,light rain,100,100,1.41
361,Filingue,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
362,Loubomo,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
363,Masingbi,SL,7.5264,-12.505,77.94,moderate rain,87,100,5.91
364,Dabola,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
365,Fougamou,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
366,Lagos,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
367,Boali,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
368,Siguiri,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
369,Boda,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
370,Kasongo,CD,-2.95,25.95,69.57,light rain,100,100,1.41
371,Segou,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
372,Numan,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
373,Kedougou,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
374,Solenzo,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
375,Bababe,MR,18.0858,-15.9785,78.73,broken clouds,62,52,14.88
376,Ndende,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
377,Boke,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
378,Aneho,US,27.9797,-82.3065,82.31,overcast clouds,86,90,0.0
379,Tamale,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
380,Biu,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
381,Forecariah,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
382,Daoukro,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
383,Bitkine,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
384,Ankpa,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
385,Diffa,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
386,Massakory,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
387,Banikoara,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
388,Bokoro,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
389,Gaoual,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
390,Mimongo,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
391,Malanville,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
392,Bangui,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
